displacement,position
0.0,0.0
-1.12296e-10,0.05
-4.47683e-10,0.1
-1.00391e-09,0.15000000000000002
-1.77871e-09,0.2
-2.76985e-09,0.25
-3.97506e-09,0.30000000000000004
-5.3921e-09,0.35000000000000003
-7.0187e-09,0.4
-8.85263e-09,0.45
-1.08916e-08,0.5
-1.31334e-08,0.55
-1.55758e-08,0.6000000000000001
-1.82164e-08,0.65
-2.10531e-08,0.7000000000000001
-2.40836e-08,0.75
-2.73056e-08,0.8
-3.0717e-08,0.8500000000000001
-3.43153e-08,0.9
-3.80985e-08,0.9500000000000001
-4.20642e-08,1.0
-4.62101e-08,1.05
-5.05341e-08,1.1
-5.50338e-08,1.1500000000000001
-5.97071e-08,1.2000000000000002
-6.45516e-08,1.25
-6.95651e-08,1.3
-7.47454e-08,1.35
-8.00901e-08,1.4000000000000001
-8.55972e-08,1.4500000000000002
-9.12642e-08,1.5
-9.70889e-08,1.55
-1.03069e-07,1.6
-1.09203e-07,1.6500000000000001
-1.15487e-07,1.7000000000000002
-1.2192e-07,1.75
-1.285e-07,1.8
-1.35224e-07,1.85
-1.4209e-07,1.9000000000000001
-1.49095e-07,1.9500000000000002
-1.56238e-07,2.0
-1.63517e-07,2.0500000000000003
-1.70928e-07,2.1
-1.7847e-07,2.15
-1.8614e-07,2.2
-1.93936e-07,2.25
-2.01857e-07,2.3000000000000003
-2.09899e-07,2.35
-2.18061e-07,2.4000000000000004
-2.26339e-07,2.45
-2.34733e-07,2.5
-2.43239e-07,2.5500000000000003
-2.51856e-07,2.6
-2.60581e-07,2.6500000000000004
-2.69412e-07,2.7
-2.78346e-07,2.75
-2.87382e-07,2.8000000000000003
-2.96517e-07,2.85
-3.05749e-07,2.9000000000000004
-3.15076e-07,2.95
-3.24495e-07,3.0
-3.34004e-07,3.0500000000000003
-3.43601e-07,3.1
-3.53284e-07,3.1500000000000004
-3.6305e-07,3.2
-3.72897e-07,3.25
-3.82823e-07,3.3000000000000003
-3.92825e-07,3.35
-4.02902e-07,3.4000000000000004
-4.13052e-07,3.45
-4.23271e-07,3.5
-4.33557e-07,3.5500000000000003
-4.43909e-07,3.6
-4.54324e-07,3.6500000000000004
-4.648e-07,3.7
-4.75334e-07,3.75
-4.85925e-07,3.8000000000000003
-4.9657e-07,3.85
-5.07267e-07,3.9000000000000004
-5.18013e-07,3.95
-5.28806e-07,4.0
-5.39645e-07,4.05
-5.50527e-07,4.1000000000000005
-5.61449e-07,4.15
-5.72409e-07,4.2
-5.83405e-07,4.25
-5.94436e-07,4.3
-6.05497e-07,4.3500000000000005
-6.16588e-07,4.4
-6.27706e-07,4.45
-6.38849e-07,4.5
-6.50015e-07,4.55
-6.612e-07,4.6000000000000005
-6.72404e-07,4.65
-6.83624e-07,4.7
-6.94857e-07,4.75
-7.06101e-07,4.800000000000001
-7.17354e-07,4.8500000000000005
-7.28614e-07,4.9
-7.39879e-07,4.95
-7.51146e-07,5.0
