displacement,position
0.0,0.0
-2.24593e-10,0.05
-8.95366e-10,0.1
-2.00781e-09,0.15000000000000002
-3.55743e-09,0.2
-5.5397e-09,0.25
-7.95012e-09,0.30000000000000004
-1.07842e-08,0.35000000000000003
-1.40374e-08,0.4
-1.77053e-08,0.45
-2.17832e-08,0.5
-2.62668e-08,0.55
-3.11515e-08,0.6000000000000001
-3.64328e-08,0.65
-4.21062e-08,0.7000000000000001
-4.81672e-08,0.75
-5.46113e-08,0.8
-6.14339e-08,0.8500000000000001
-6.86307e-08,0.9
-7.6197e-08,0.9500000000000001
-8.41283e-08,1.0
-9.24202e-08,1.05
-1.01068e-07,1.1
-1.10068e-07,1.1500000000000001
-1.19414e-07,1.2000000000000002
-1.29103e-07,1.25
-1.3913e-07,1.3
-1.49491e-07,1.35
-1.6018e-07,1.4000000000000001
-1.71194e-07,1.4500000000000002
-1.82528e-07,1.5
-1.94178e-07,1.55
-2.06138e-07,1.6
-2.18405e-07,1.6500000000000001
-2.30974e-07,1.7000000000000002
-2.43841e-07,1.75
-2.57e-07,1.8
-2.70448e-07,1.85
-2.84179e-07,1.9000000000000001
-2.98191e-07,1.9500000000000002
-3.12477e-07,2.0
-3.27033e-07,2.0500000000000003
-3.41855e-07,2.1
-3.56939e-07,2.15
-3.7228e-07,2.2
-3.87873e-07,2.25
-4.03714e-07,2.3000000000000003
-4.19798e-07,2.35
-4.36121e-07,2.4000000000000004
-4.52679e-07,2.45
-4.69466e-07,2.5
-4.86479e-07,2.5500000000000003
-5.03712e-07,2.6
-5.21162e-07,2.6500000000000004
-5.38824e-07,2.7
-5.56693e-07,2.75
-5.74765e-07,2.8000000000000003
-5.93035e-07,2.85
-6.11499e-07,2.9000000000000004
-6.30152e-07,2.95
-6.4899e-07,3.0
-6.68008e-07,3.0500000000000003
-6.87202e-07,3.1
-7.06567e-07,3.1500000000000004
-7.26099e-07,3.2
-7.45794e-07,3.25
-7.65646e-07,3.3000000000000003
-7.85651e-07,3.35
-8.05805e-07,3.4000000000000004
-8.26103e-07,3.45
-8.46541e-07,3.5
-8.67114e-07,3.5500000000000003
-8.87818e-07,3.6
-9.08648e-07,3.6500000000000004
-9.296e-07,3.7
-9.50669e-07,3.75
-9.7185e-07,3.8000000000000003
-9.9314e-07,3.85
-1.01453e-06,3.9000000000000004
-1.03603e-06,3.95
-1.05761e-06,4.0
-1.07929e-06,4.05
-1.10105e-06,4.1000000000000005
-1.1229e-06,4.15
-1.14482e-06,4.2
-1.16681e-06,4.25
-1.18887e-06,4.3
-1.21099e-06,4.3500000000000005
-1.23318e-06,4.4
-1.25541e-06,4.45
-1.2777e-06,4.5
-1.30003e-06,4.55
-1.3224e-06,4.6000000000000005
-1.34481e-06,4.65
-1.36725e-06,4.7
-1.38971e-06,4.75
-1.4122e-06,4.800000000000001
-1.43471e-06,4.8500000000000005
-1.45723e-06,4.9
-1.47976e-06,4.95
-1.50229e-06,5.0
