displacement,position
0.0,0.0
-1.4037e-10,0.05
-5.59603e-10,0.1
-1.25488e-09,0.15000000000000002
-2.22339e-09,0.2
-3.46231e-09,0.25
-4.96883e-09,0.30000000000000004
-6.74012e-09,0.35000000000000003
-8.77338e-09,0.4
-1.10658e-08,0.45
-1.36145e-08,0.5
-1.64168e-08,0.55
-1.94697e-08,0.6000000000000001
-2.27705e-08,0.65
-2.63164e-08,0.7000000000000001
-3.01045e-08,0.75
-3.41321e-08,0.8
-3.83962e-08,0.8500000000000001
-4.28942e-08,0.9
-4.76231e-08,0.9500000000000001
-5.25802e-08,1.0
-5.77626e-08,1.05
-6.31676e-08,1.1
-6.87923e-08,1.1500000000000001
-7.46338e-08,1.2000000000000002
-8.06895e-08,1.25
-8.69564e-08,1.3
-9.34317e-08,1.35
-1.00113e-07,1.4000000000000001
-1.06996e-07,1.4500000000000002
-1.1408e-07,1.5
-1.21361e-07,1.55
-1.28836e-07,1.6
-1.36503e-07,1.6500000000000001
-1.44359e-07,1.7000000000000002
-1.524e-07,1.75
-1.60625e-07,1.8
-1.6903e-07,1.85
-1.77612e-07,1.9000000000000001
-1.86369e-07,1.9500000000000002
-1.95298e-07,2.0
-2.04396e-07,2.0500000000000003
-2.1366e-07,2.1
-2.23087e-07,2.15
-2.32675e-07,2.2
-2.4242e-07,2.25
-2.52321e-07,2.3000000000000003
-2.62374e-07,2.35
-2.72576e-07,2.4000000000000004
-2.82924e-07,2.45
-2.93416e-07,2.5
-3.04049e-07,2.5500000000000003
-3.1482e-07,2.6
-3.25726e-07,2.6500000000000004
-3.36765e-07,2.7
-3.47933e-07,2.75
-3.59228e-07,2.8000000000000003
-3.70647e-07,2.85
-3.82187e-07,2.9000000000000004
-3.93845e-07,2.95
-4.05619e-07,3.0
-4.17505e-07,3.0500000000000003
-4.29501e-07,3.1
-4.41605e-07,3.1500000000000004
-4.53812e-07,3.2
-4.66121e-07,3.25
-4.78529e-07,3.3000000000000003
-4.91032e-07,3.35
-5.03628e-07,3.4000000000000004
-5.16314e-07,3.45
-5.29088e-07,3.5
-5.41946e-07,3.5500000000000003
-5.54886e-07,3.6
-5.67905e-07,3.6500000000000004
-5.81e-07,3.7
-5.94168e-07,3.75
-6.07406e-07,3.8000000000000003
-6.20712e-07,3.85
-6.34083e-07,3.9000000000000004
-6.47516e-07,3.95
-6.61008e-07,4.0
-6.74556e-07,4.05
-6.88158e-07,4.1000000000000005
-7.01811e-07,4.15
-7.15511e-07,4.2
-7.29257e-07,4.25
-7.43044e-07,4.3
-7.56872e-07,4.3500000000000005
-7.70735e-07,4.4
-7.84633e-07,4.45
-7.98562e-07,4.5
-8.12518e-07,4.55
-8.265e-07,4.6000000000000005
-8.40505e-07,4.65
-8.54529e-07,4.7
-8.68571e-07,4.75
-8.82626e-07,4.800000000000001
-8.96693e-07,4.8500000000000005
-9.10768e-07,4.9
-9.24848e-07,4.95
-9.38932e-07,5.0
