displacement,position
0.0,0.0
-1.68444e-10,0.05
-6.71524e-10,0.1
-1.50586e-09,0.15000000000000002
-2.66807e-09,0.2
-4.15477e-09,0.25
-5.96259e-09,0.30000000000000004
-8.08815e-09,0.35000000000000003
-1.05281e-08,0.4
-1.32789e-08,0.45
-1.63374e-08,0.5
-1.97001e-08,0.55
-2.33636e-08,0.6000000000000001
-2.73246e-08,0.65
-3.15797e-08,0.7000000000000001
-3.61254e-08,0.75
-4.09585e-08,0.8
-4.60755e-08,0.8500000000000001
-5.1473e-08,0.9
-5.71477e-08,0.9500000000000001
-6.30962e-08,1.0
-6.93151e-08,1.05
-7.58011e-08,1.1
-8.25507e-08,1.1500000000000001
-8.95606e-08,1.2000000000000002
-9.68274e-08,1.25
-1.04348e-07,1.3
-1.12118e-07,1.35
-1.20135e-07,1.4000000000000001
-1.28396e-07,1.4500000000000002
-1.36896e-07,1.5
-1.45633e-07,1.55
-1.54604e-07,1.6
-1.63804e-07,1.6500000000000001
-1.73231e-07,1.7000000000000002
-1.8288e-07,1.75
-1.9275e-07,1.8
-2.02836e-07,1.85
-2.13135e-07,1.9000000000000001
-2.23643e-07,1.9500000000000002
-2.34357e-07,2.0
-2.45275e-07,2.0500000000000003
-2.56392e-07,2.1
-2.67704e-07,2.15
-2.7921e-07,2.2
-2.90905e-07,2.25
-3.02785e-07,2.3000000000000003
-3.14848e-07,2.35
-3.27091e-07,2.4000000000000004
-3.39509e-07,2.45
-3.52099e-07,2.5
-3.64859e-07,2.5500000000000003
-3.77784e-07,2.6
-3.90872e-07,2.6500000000000004
-4.04118e-07,2.7
-4.1752e-07,2.75
-4.31073e-07,2.8000000000000003
-4.44776e-07,2.85
-4.58624e-07,2.9000000000000004
-4.72614e-07,2.95
-4.86742e-07,3.0
-5.01006e-07,3.0500000000000003
-5.15402e-07,3.1
-5.29925e-07,3.1500000000000004
-5.44575e-07,3.2
-5.59345e-07,3.25
-5.74234e-07,3.3000000000000003
-5.89238e-07,3.35
-6.04354e-07,3.4000000000000004
-6.19577e-07,3.45
-6.34906e-07,3.5
-6.50336e-07,3.5500000000000003
-6.65863e-07,3.6
-6.81486e-07,3.6500000000000004
-6.972e-07,3.7
-7.13001e-07,3.75
-7.28888e-07,3.8000000000000003
-7.44855e-07,3.85
-7.609e-07,3.9000000000000004
-7.77019e-07,3.95
-7.9321e-07,4.0
-8.09468e-07,4.05
-8.2579e-07,4.1000000000000005
-8.42173e-07,4.15
-8.58613e-07,4.2
-8.75108e-07,4.25
-8.91653e-07,4.3
-9.08246e-07,4.3500000000000005
-9.24883e-07,4.4
-9.4156e-07,4.45
-9.58274e-07,4.5
-9.75022e-07,4.55
-9.91801e-07,4.6000000000000005
-1.00861e-06,4.65
-1.02544e-06,4.7
-1.04228e-06,4.75
-1.05915e-06,4.800000000000001
-1.07603e-06,4.8500000000000005
-1.09292e-06,4.9
-1.10982e-06,4.95
-1.12672e-06,5.0
