displacement,position
0.0,0.0
-2.52667e-10,0.05
-1.00729e-09,0.1
-2.25879e-09,0.15000000000000002
-4.0021e-09,0.2
-6.23216e-09,0.25
-8.94389e-09,0.30000000000000004
-1.21322e-08,0.35000000000000003
-1.57921e-08,0.4
-1.99184e-08,0.45
-2.45061e-08,0.5
-2.95502e-08,0.55
-3.50454e-08,0.6000000000000001
-4.09869e-08,0.65
-4.73695e-08,0.7000000000000001
-5.41881e-08,0.75
-6.14377e-08,0.8
-6.91132e-08,0.8500000000000001
-7.72095e-08,0.9
-8.57216e-08,0.9500000000000001
-9.46443e-08,1.0
-1.03973e-07,1.05
-1.13702e-07,1.1
-1.23826e-07,1.1500000000000001
-1.34341e-07,1.2000000000000002
-1.45241e-07,1.25
-1.56521e-07,1.3
-1.68177e-07,1.35
-1.80203e-07,1.4000000000000001
-1.92594e-07,1.4500000000000002
-2.05344e-07,1.5
-2.1845e-07,1.55
-2.31906e-07,1.6
-2.45706e-07,1.6500000000000001
-2.59846e-07,1.7000000000000002
-2.74321e-07,1.75
-2.89125e-07,1.8
-3.04254e-07,1.85
-3.19702e-07,1.9000000000000001
-3.35464e-07,1.9500000000000002
-3.51536e-07,2.0
-3.67912e-07,2.0500000000000003
-3.84587e-07,2.1
-4.01557e-07,2.15
-4.18815e-07,2.2
-4.36357e-07,2.25
-4.54178e-07,2.3000000000000003
-4.72273e-07,2.35
-4.90636e-07,2.4000000000000004
-5.09263e-07,2.45
-5.28149e-07,2.5
-5.47289e-07,2.5500000000000003
-5.66676e-07,2.6
-5.86307e-07,2.6500000000000004
-6.06177e-07,2.7
-6.26279e-07,2.75
-6.4661e-07,2.8000000000000003
-6.67164e-07,2.85
-6.87936e-07,2.9000000000000004
-7.08921e-07,2.95
-7.30113e-07,3.0
-7.51509e-07,3.0500000000000003
-7.73102e-07,3.1
-7.94888e-07,3.1500000000000004
-8.16862e-07,3.2
-8.39018e-07,3.25
-8.61351e-07,3.3000000000000003
-8.83857e-07,3.35
-9.06531e-07,3.4000000000000004
-9.29366e-07,3.45
-9.52359e-07,3.5
-9.75503e-07,3.5500000000000003
-9.98795e-07,3.6
-1.02223e-06,3.6500000000000004
-1.0458e-06,3.7
-1.0695e-06,3.75
-1.09333e-06,3.8000000000000003
-1.11728e-06,3.85
-1.14135e-06,3.9000000000000004
-1.16553e-06,3.95
-1.18981e-06,4.0
-1.2142e-06,4.05
-1.23868e-06,4.1000000000000005
-1.26326e-06,4.15
-1.28792e-06,4.2
-1.31266e-06,4.25
-1.33748e-06,4.3
-1.36237e-06,4.3500000000000005
-1.38732e-06,4.4
-1.41234e-06,4.45
-1.43741e-06,4.5
-1.46253e-06,4.55
-1.4877e-06,4.6000000000000005
-1.51291e-06,4.65
-1.53815e-06,4.7
-1.56343e-06,4.75
-1.58873e-06,4.800000000000001
-1.61405e-06,4.8500000000000005
-1.63938e-06,4.9
-1.66473e-06,4.95
-1.69008e-06,5.0
