displacement,position
0.0,0.0
-9.7024e-11,0.06
-3.86798e-10,0.12
-8.67375e-10,0.18
-1.53681e-09,0.24
-2.39315e-09,0.3
-3.43445e-09,0.36
-4.65877e-09,0.42
-6.06416e-09,0.48
-7.64867e-09,0.54
-9.41035e-09,0.6
-1.13473e-08,0.6599999999999999
-1.34575e-08,0.72
-1.5739e-08,0.78
-1.81899e-08,0.84
-2.08082e-08,0.8999999999999999
-2.35921e-08,0.96
-2.65395e-08,1.02
-2.96484e-08,1.08
-3.29171e-08,1.14
-3.63434e-08,1.2
-3.99255e-08,1.26
-4.36614e-08,1.3199999999999998
-4.75492e-08,1.38
-5.15869e-08,1.44
-5.57726e-08,1.5
-6.01042e-08,1.56
-6.458e-08,1.6199999999999999
-6.91979e-08,1.68
-7.3956e-08,1.74
-7.88523e-08,1.7999999999999998
-8.38848e-08,1.8599999999999999
-8.90518e-08,1.92
-9.43511e-08,1.98
-9.97809e-08,2.04
-1.05339e-07,2.1
-1.11024e-07,2.16
-1.16833e-07,2.2199999999999998
-1.22766e-07,2.28
-1.28818e-07,2.34
-1.3499e-07,2.4
-1.41278e-07,2.46
-1.47682e-07,2.52
-1.54198e-07,2.58
-1.60825e-07,2.6399999999999997
-1.67561e-07,2.6999999999999997
-1.74404e-07,2.76
-1.81353e-07,2.82
-1.88404e-07,2.88
-1.95557e-07,2.94
-2.02809e-07,3.0
-2.10159e-07,3.06
-2.17604e-07,3.12
-2.25142e-07,3.1799999999999997
-2.32772e-07,3.2399999999999998
-2.40491e-07,3.3
-2.48298e-07,3.36
-2.56191e-07,3.42
-2.64167e-07,3.48
-2.72226e-07,3.54
-2.80364e-07,3.5999999999999996
-2.88579e-07,3.6599999999999997
-2.96871e-07,3.7199999999999998
-3.05237e-07,3.78
-3.13675e-07,3.84
-3.22183e-07,3.9
-3.30759e-07,3.96
-3.39401e-07,4.02
-3.48108e-07,4.08
-3.56877e-07,4.14
-3.65706e-07,4.2
-3.74593e-07,4.26
-3.83537e-07,4.32
-3.92536e-07,4.38
-4.01587e-07,4.4399999999999995
-4.10689e-07,4.5
-4.19839e-07,4.56
-4.29036e-07,4.62
-4.38278e-07,4.68
-4.47563e-07,4.74
-4.56889e-07,4.8
-4.66253e-07,4.859999999999999
-4.75655e-07,4.92
-4.85092e-07,4.9799999999999995
-4.94561e-07,5.04
-5.04062e-07,5.1
-5.13592e-07,5.16
-5.2315e-07,5.22
-5.32732e-07,5.279999999999999
-5.42338e-07,5.34
-5.51966e-07,5.3999999999999995
-5.61613e-07,5.46
-5.71277e-07,5.52
-5.80957e-07,5.58
-5.90651e-07,5.64
-6.00356e-07,5.7
-6.10071e-07,5.76
-6.19794e-07,5.819999999999999
-6.29523e-07,5.88
-6.39255e-07,5.9399999999999995
-6.4899e-07,6.0
