displacement,position
0.0,0.0
-2.29983e-10,0.08
-9.16854e-10,0.16
-2.056e-09,0.24
-3.6428e-09,0.32
-5.67265e-09,0.4
-8.14093e-09,0.48
-1.1043e-08,0.56
-1.43743e-08,0.64
-1.81302e-08,0.72
-2.2306e-08,0.8
-2.68972e-08,0.88
-3.18991e-08,0.96
-3.73072e-08,1.04
-4.31168e-08,1.12
-4.93232e-08,1.2
-5.5922e-08,1.28
-6.29084e-08,1.36
-7.02778e-08,1.44
-7.80257e-08,1.52
-8.61474e-08,1.6
-9.46383e-08,1.68
-1.03494e-07,1.76
-1.12709e-07,1.84
-1.2228e-07,1.92
-1.32202e-07,2.0
-1.42469e-07,2.08
-1.53079e-07,2.16
-1.64025e-07,2.24
-1.75303e-07,2.32
-1.86909e-07,2.4
-1.98838e-07,2.48
-2.11086e-07,2.56
-2.23647e-07,2.64
-2.36518e-07,2.72
-2.49693e-07,2.8000000000000003
-2.63168e-07,2.88
-2.76938e-07,2.96
-2.91e-07,3.04
-3.05347e-07,3.12
-3.19976e-07,3.2
-3.34882e-07,3.2800000000000002
-3.5006e-07,3.36
-3.65506e-07,3.44
-3.81214e-07,3.52
-3.97182e-07,3.6
-4.13403e-07,3.68
-4.29873e-07,3.7600000000000002
-4.46588e-07,3.84
-4.63543e-07,3.92
-4.80733e-07,4.0
-4.98154e-07,4.08
-5.15801e-07,4.16
-5.3367e-07,4.24
-5.51756e-07,4.32
-5.70053e-07,4.4
-5.88559e-07,4.48
-6.07268e-07,4.5600000000000005
-6.26175e-07,4.64
-6.45275e-07,4.72
-6.64566e-07,4.8
-6.8404e-07,4.88
-7.03695e-07,4.96
-7.23525e-07,5.04
-7.43526e-07,5.12
-7.63693e-07,5.2
-7.84021e-07,5.28
-8.04507e-07,5.36
-8.25144e-07,5.44
-8.4593e-07,5.5200000000000005
-8.66858e-07,5.6000000000000005
-8.87925e-07,5.68
-9.09126e-07,5.76
-9.30456e-07,5.84
-9.5191e-07,5.92
-9.73485e-07,6.0
-9.95175e-07,6.08
-1.01698e-06,6.16
-1.03888e-06,6.24
-1.06089e-06,6.32
-1.083e-06,6.4
-1.10519e-06,6.48
-1.12748e-06,6.5600000000000005
-1.14985e-06,6.640000000000001
-1.17229e-06,6.72
-1.19481e-06,6.8
-1.2174e-06,6.88
-1.24006e-06,6.96
-1.26277e-06,7.04
-1.28554e-06,7.12
-1.30836e-06,7.2
-1.33123e-06,7.28
-1.35414e-06,7.36
-1.37708e-06,7.44
-1.40006e-06,7.5200000000000005
-1.42307e-06,7.6000000000000005
-1.44609e-06,7.68
-1.46914e-06,7.76
-1.4922e-06,7.84
-1.51527e-06,7.92
-1.53835e-06,8.0
