displacement,position
0.0,0.0
-4.49185e-13,0.01
-1.79073e-12,0.02
-4.01562e-12,0.03
-7.11485e-12,0.04
-1.10794e-11,0.05
-1.59002e-11,0.06
-2.15684e-11,0.07
-2.80748e-11,0.08
-3.54105e-11,0.09
-4.35664e-11,0.1
-5.25336e-11,0.11
-6.2303e-11,0.12
-7.28656e-11,0.13
-8.42124e-11,0.14
-9.63344e-11,0.15
-1.09223e-10,0.16
-1.22868e-10,0.17
-1.37261e-10,0.18
-1.52394e-10,0.19
-1.68257e-10,0.2
-1.8484e-10,0.21
-2.02136e-10,0.22
-2.20135e-10,0.23
-2.38828e-10,0.24
-2.58206e-10,0.25
-2.7826e-10,0.26
-2.98981e-10,0.27
-3.20361e-10,0.28
-3.42389e-10,0.29
-3.65057e-10,0.3
-3.88356e-10,0.31
-4.12277e-10,0.32
-4.36811e-10,0.33
-4.61949e-10,0.34
-4.87681e-10,0.35000000000000003
-5.14e-10,0.36
-5.40895e-10,0.37
-5.68359e-10,0.38
-5.96381e-10,0.39
-6.24953e-10,0.4
-6.54066e-10,0.41000000000000003
-6.83711e-10,0.42
-7.13878e-10,0.43
-7.4456e-10,0.44
-7.75746e-10,0.45
-8.07427e-10,0.46
-8.39596e-10,0.47000000000000003
-8.72242e-10,0.48
-9.05357e-10,0.49
-9.38932e-10,0.5
-9.72957e-10,0.51
-1.00742e-09,0.52
-1.04232e-09,0.53
-1.07765e-09,0.54
-1.11339e-09,0.55
-1.14953e-09,0.56
-1.18607e-09,0.5700000000000001
-1.223e-09,0.58
-1.2603e-09,0.59
-1.29798e-09,0.6
-1.33602e-09,0.61
-1.3744e-09,0.62
-1.41313e-09,0.63
-1.4522e-09,0.64
-1.49159e-09,0.65
-1.53129e-09,0.66
-1.5713e-09,0.67
-1.61161e-09,0.68
-1.65221e-09,0.6900000000000001
-1.69308e-09,0.7000000000000001
-1.73423e-09,0.71
-1.77564e-09,0.72
-1.8173e-09,0.73
-1.8592e-09,0.74
-1.90134e-09,0.75
-1.9437e-09,0.76
-1.98628e-09,0.77
-2.02907e-09,0.78
-2.07205e-09,0.79
-2.11523e-09,0.8
-2.15858e-09,0.81
-2.20211e-09,0.8200000000000001
-2.24579e-09,0.8300000000000001
-2.28964e-09,0.84
-2.33362e-09,0.85
-2.37774e-09,0.86
-2.42199e-09,0.87
-2.46635e-09,0.88
-2.51083e-09,0.89
-2.5554e-09,0.9
-2.60006e-09,0.91
-2.6448e-09,0.92
-2.68962e-09,0.93
-2.73449e-09,0.9400000000000001
-2.77943e-09,0.9500000000000001
-2.8244e-09,0.96
-2.86942e-09,0.97
-2.91446e-09,0.98
-2.95952e-09,0.99
-3.00458e-09,1.0
