displacement,position
0.0,0.0
-1.2128e-11,0.03
-4.83497e-11,0.06
-1.08422e-10,0.09
-1.92101e-10,0.12
-2.99144e-10,0.15
-4.29307e-10,0.18
-5.82347e-10,0.21
-7.5802e-10,0.24
-9.56084e-10,0.27
-1.17629e-09,0.3
-1.41841e-09,0.32999999999999996
-1.68218e-09,0.36
-1.96737e-09,0.39
-2.27374e-09,0.42
-2.60103e-09,0.44999999999999996
-2.94901e-09,0.48
-3.31743e-09,0.51
-3.70606e-09,0.54
-4.11464e-09,0.57
-4.54293e-09,0.6
-4.99069e-09,0.63
-5.45768e-09,0.6599999999999999
-5.94365e-09,0.69
-6.44836e-09,0.72
-6.97157e-09,0.75
-7.51303e-09,0.78
-8.0725e-09,0.8099999999999999
-8.64974e-09,0.84
-9.24449e-09,0.87
-9.85653e-09,0.8999999999999999
-1.04856e-08,0.9299999999999999
-1.11315e-08,0.96
-1.17939e-08,0.99
-1.24726e-08,1.02
-1.31674e-08,1.05
-1.3878e-08,1.08
-1.46042e-08,1.1099999999999999
-1.53457e-08,1.14
-1.61023e-08,1.17
-1.68737e-08,1.2
-1.76598e-08,1.23
-1.84602e-08,1.26
-1.92747e-08,1.29
-2.01031e-08,1.3199999999999998
-2.09451e-08,1.3499999999999999
-2.18005e-08,1.38
-2.26691e-08,1.41
-2.35505e-08,1.44
-2.44446e-08,1.47
-2.53512e-08,1.5
-2.62698e-08,1.53
-2.72005e-08,1.56
-2.81428e-08,1.5899999999999999
-2.90965e-08,1.6199999999999999
-3.00614e-08,1.65
-3.10373e-08,1.68
-3.20239e-08,1.71
-3.30209e-08,1.74
-3.40282e-08,1.77
-3.50454e-08,1.7999999999999998
-3.60724e-08,1.8299999999999998
-3.71089e-08,1.8599999999999999
-3.81546e-08,1.89
-3.92094e-08,1.92
-4.02729e-08,1.95
-4.13449e-08,1.98
-4.24252e-08,2.01
-4.35135e-08,2.04
-4.46096e-08,2.07
-4.57132e-08,2.1
-4.68242e-08,2.13
-4.79422e-08,2.16
-4.9067e-08,2.19
-5.01984e-08,2.2199999999999998
-5.13361e-08,2.25
-5.24799e-08,2.28
-5.36296e-08,2.31
-5.47848e-08,2.34
-5.59454e-08,2.37
-5.71111e-08,2.4
-5.82817e-08,2.4299999999999997
-5.94569e-08,2.46
-6.06365e-08,2.4899999999999998
-6.18202e-08,2.52
-6.30078e-08,2.55
-6.4199e-08,2.58
-6.53937e-08,2.61
-6.65915e-08,2.6399999999999997
-6.77923e-08,2.67
-6.89957e-08,2.6999999999999997
-7.02016e-08,2.73
-7.14096e-08,2.76
-7.26196e-08,2.79
-7.38313e-08,2.82
-7.50445e-08,2.85
-7.62589e-08,2.88
-7.74742e-08,2.9099999999999997
-7.86903e-08,2.94
-7.99069e-08,2.9699999999999998
-8.11237e-08,3.0
